,run,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34
307,540001160101_S152_L002,474,509,129,469,40,15,41,170,1,113,2,290,2,32,39,22,4,20,5,15,3,0,0,0,4,0,11,6,10,8,2,1,0,2,3
308,440000480101_S178_L002,502,398,91,589,47,53,22,110,3,63,2,338,0,6,13,44,13,4,6,3,0,1,0,1,0,1,5,15,3,8,0,1,1,3,0
309,260002850101_S3_L001,683,774,233,1224,27,27,45,325,1,50,1,377,9,31,74,63,10,4,3,9,1,0,0,0,0,4,14,24,12,3,2,1,0,0,6
310,690000990101_S63_L001,508,446,148,657,59,30,21,276,0,31,1,173,0,24,22,31,3,9,1,8,4,0,0,0,1,8,10,4,8,7,0,1,0,0,0
311,370000490808_S102_L002,0,0,102,0,0,14,2,97,1,20,3,110,0,11,35,5,3,5,2,0,0,0,0,0,1,0,2,0,5,3,2,0,0,0,0
312,780002090101_S89_L001,479,529,472,680,57,30,60,346,0,85,3,268,0,18,137,59,1,6,2,11,0,0,0,2,0,6,18,6,8,7,4,1,1,6,3
313,540002290808_S42_L001,0,0,260,0,0,1,7,144,1,20,1,38,0,23,32,11,3,6,3,9,2,0,0,0,0,0,2,0,16,6,2,1,0,1,0
314,280002980807_S49_L001,0,1,355,0,0,62,43,299,3,146,1,644,4,72,210,103,4,37,5,0,7,3,1,0,1,0,17,0,31,7,4,2,2,0,0
315,330001290807_S162_L002,0,0,486,0,0,45,49,300,0,57,1,93,0,25,69,24,12,43,1,9,1,0,0,1,1,0,3,0,23,8,7,2,2,4,0
316,280001880807_S135_L002,0,0,687,0,0,73,46,433,3,114,0,278,0,28,126,49,3,50,3,11,8,3,0,1,1,0,11,0,27,21,6,2,6,11,0
317,050001710101_S116_L002,255,312,230,291,38,29,24,174,1,39,0,142,0,12,61,26,2,13,1,13,0,0,0,0,2,12,2,6,11,4,2,2,0,0,0
318,050001290101_S112_L002,298,421,370,212,40,28,40,327,1,48,3,153,0,10,76,37,3,4,2,3,0,0,0,0,0,0,7,10,16,4,1,0,0,2,1
319,050001070101_S109_L002,287,122,95,483,38,42,2,75,0,29,1,96,0,42,51,29,2,4,2,2,2,0,1,0,0,0,2,4,1,2,2,0,0,1,1
320,690001770808_S53_L001,0,0,159,0,1,14,2,83,0,8,0,65,0,20,12,17,1,2,1,2,1,0,0,0,0,0,4,0,2,1,1,1,1,2,0
321,780005240101_S42_L001,313,359,264,549,20,0,23,295,0,58,2,242,4,26,154,32,1,23,1,4,0,0,0,0,0,1,8,12,4,4,4,1,1,2,2
322,500001490808_S49_L001,0,0,129,0,0,30,8,178,1,81,3,143,0,8,99,29,12,6,0,5,0,0,0,0,0,0,9,0,10,5,3,0,0,0,0
323,230002070807_S129_L002,0,0,74,0,0,1,20,55,0,29,3,8,0,13,84,18,1,7,1,0,0,0,0,0,0,0,8,0,4,0,2,0,0,0,0
324,050001960101_S120_L002,368,542,177,808,54,42,27,311,0,87,3,299,4,24,82,73,6,32,7,0,2,0,0,0,0,1,16,1,14,8,3,1,0,6,0
325,050002170101_S126_L002,238,312,19,361,31,30,16,129,0,18,1,224,0,16,35,21,1,5,1,1,4,0,0,0,0,6,7,11,6,5,4,1,0,2,0
326,780005090101_S40_L001,359,415,186,681,24,6,33,216,1,29,1,61,0,17,120,9,1,5,3,18,1,0,1,0,0,6,7,7,7,2,1,0,0,0,1
327,780003490101_S93_L001,303,185,27,341,30,1,13,42,1,10,0,96,0,4,66,38,0,0,1,2,1,0,0,0,2,0,2,3,7,1,0,0,0,0,1
328,330001990101_S136_L002,308,294,171,260,10,1,31,118,0,46,0,360,8,10,53,23,5,0,1,6,2,0,1,1,0,1,0,5,14,4,1,0,0,3,1
329,440000880101_S63_L001,0,0,61,0,0,44,21,85,0,72,1,216,0,5,61,16,1,0,1,2,4,0,0,0,0,0,7,0,5,3,2,4,0,0,0
330,330001670101_S130_L002,279,247,211,569,4,29,26,199,0,53,2,168,6,2,32,41,0,12,1,0,1,0,0,0,0,1,5,3,14,5,2,2,0,0,2
331,330002550101_S139_L002,182,183,214,362,21,14,29,119,0,27,3,296,0,6,92,33,1,11,1,3,0,0,1,0,0,11,2,1,8,6,3,1,1,0,0
332,540002400808_S41_L001,0,36,40,34,0,28,15,58,0,8,0,54,0,2,60,7,10,16,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0
333,210002270101_S70_L001,579,575,150,800,6,41,5,127,0,73,4,319,0,45,148,35,5,5,6,4,3,0,0,0,0,0,7,12,14,10,2,0,0,1,7
334,230003090807_S29_L001,0,0,103,0,0,0,20,192,0,34,2,185,0,5,17,13,0,2,1,2,0,0,0,0,0,0,10,0,2,1,1,0,0,0,0
335,540001400808_S34_L001,0,0,509,0,0,66,82,373,4,75,1,452,1,29,191,70,19,4,5,6,1,0,1,0,2,0,3,0,21,8,8,3,0,1,0
336,470001090807_S160_L002,0,0,202,0,0,28,29,161,1,95,3,68,0,35,65,15,0,1,1,0,2,2,0,0,1,0,7,0,17,5,1,2,0,1,0
337,440003240101_S182_L002,428,493,115,601,52,13,35,150,0,81,1,94,0,19,35,40,14,2,2,6,0,0,0,0,2,6,10,1,5,6,1,2,1,2,2
338,440000050101_S175_L002,222,344,96,349,22,0,3,69,2,13,2,135,0,5,6,24,0,1,0,2,1,0,0,0,1,2,4,2,10,3,1,0,0,0,0
339,540002050101_S154_L002,288,188,30,270,0,15,6,44,0,8,0,136,0,14,10,16,3,10,0,4,4,2,0,0,2,1,4,2,1,1,2,0,0,0,1
